Accesion,Organism,Source
CP024478.1,Pseudomonas sp. HLS-6,Pseudomonas sp. HLS-6
CP049956.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MN935407.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP079832.1,Fusarium graminearum,mitochondrion Fusarium graminearum (Gibberella zeae)
MN935401.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
XR_002394014.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP082292.1,Pantoea agglomerans,Pantoea agglomerans
HQ349039.1,Pinus morrisonicola,Pinus morrisonicola
OM475428.1,Escherichia phage 1W,Escherichia phage 1W
CP022053.2,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP022029.1,Alternaria solani,Alternaria solani
MZ959061.1,Actinidia chinensis,mitochondrion Actinidia chinensis
CP064872.1,Pantoea sp. SM3640,Pantoea sp. SM3640
CP059052.1,Pseudomonas putida,Pseudomonas putida
CP060120.1,Janibacter sp. YB324,Janibacter sp. YB324
AB354961.1,Psidium guajava,Psidium guajava
CP082296.1,Pantoea agglomerans,Pantoea agglomerans
XM_006671890.1,Cordyceps militaris CM01,Cordyceps militaris CM01
HQ349050.1,Pinus rzedowskii,Pinus rzedowskii
JQ764989.1,Escherichia phage phiX174,Escherichia phage phiX174
MW182660.1,Fusarium cortaderiae,mitochondrion Fusarium cortaderiae
CP003325.1,Bifidobacterium asteroides PRL2011,Bifidobacterium asteroides PRL2011
LN590806.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008226139.1,Lactuca sativa,Lactuca sativa
CP078068.1,Acinetobacter sp. F9,Acinetobacter sp. F9
AP013068.1,Pseudomonas resinovorans NBRC 106553,Pseudomonas resinovorans NBRC 106553
LN592578.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP053857.1,Rhizobium pusense,Rhizobium pusense (Agrobacterium pusense)
AP024684.1,Stenotrophomonas pavanii,Stenotrophomonas pavanii
JQ440758.1,Pinus cembra,Pinus cembra
OK563724.1,Prunus salicina,mitochondrion Prunus salicina
CP078101.1,Stenotrophomonas sp. Q16,Stenotrophomonas sp. Q16
MN935425.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
HM753681.1,Escherichia phage phiX174,Escherichia phage phiX174
MN935422.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
MW182659.1,Fusarium brasilicum,mitochondrion Fusarium brasilicum
CP045553.1,Pseudomonas sp. 13159349,Pseudomonas sp. 13159349
CP098606.1,Pseudomonas mendocina,Pseudomonas mendocina
XR_008226143.1,Lactuca sativa,Lactuca sativa
CP020560.1,Pseudomonas paraeruginosa,Pseudomonas paraeruginosa
LR862153.1,Ananas comosus var. bracteatus,Ananas comosus var. bracteatus
XM_012615199.2,Gossypium raimondii,Gossypium raimondii
NC_047813.1,Staphylococcus phage Andhra,Staphylococcus phage Andhra
CP043307.1,Acinetobacter johnsonii,Acinetobacter johnsonii
XR_001560983.1,Acropora digitifera,Acropora digitifera
CP039889.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LC183531.1,Dioon holmgrenii,Dioon holmgrenii
MN061667.1,Hemiptelea davidii,mitochondrion Hemiptelea davidii
CP020943.2,Pantoea ananatis,Pantoea ananatis
CP063456.1,Pseudomonas shirazica,Pseudomonas shirazica
CP050899.1,Rhizobium pusense,Rhizobium pusense (Agrobacterium pusense)
LN597452.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP048482.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP027707.1,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis subsp. piscium
CP091824.1,Klebsiella pneumoniae,Klebsiella pneumoniae
LN596718.1,Cyprinus carpio,Cyprinus carpio (common carp)
MT157331.1,Macacine betaherpesvirus 3,Macacine betaherpesvirus 3 (Rhesus cytomegalovirus)
MZ366782.1,Opuntia monacantha,Opuntia monacantha
CP046673.1,Citrobacter sp. 172116965,Citrobacter sp. 172116965
CP076635.1,Cercospora sojina,Cercospora sojina
CP044532.1,Arthrobacter sp. CDRTa11,Arthrobacter sp. CDRTa11
CP027760.1,Pseudomonas sp. R4-34-07,Pseudomonas sp. R4-34-07
LN595223.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP101185.1,Paenarthrobacter ureafaciens,Paenarthrobacter ureafaciens
MW583061.1,Vitis ruyuanensis,Vitis ruyuanensis
CP068390.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
OV196584.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
XM_046140926.1,Boeremia exigua,Boeremia exigua
LN594390.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP023114.1,Lupinus angustifolius,Lupinus angustifolius (narrow-leaved blue lupine)
XM_040942551.1,Aspergillus fijiensis CBS 313.89,Aspergillus fijiensis CBS 313.89
LN591006.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394000.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP025651.1,Ipomoea trifida,Ipomoea trifida
LN592867.1,Cyprinus carpio,Cyprinus carpio (common carp)
KT895861.1,Gossypium raimondii,Gossypium raimondii
OL824856.1,Phytolacca americana,Phytolacca americana (American pokeweed)
XM_025677199.1,Aspergillus japonicus CBS 114.51,Aspergillus japonicus CBS 114.51
LC529902.1,Asarum shuttleworthii,chloroplast Asarum shuttleworthii
XM_044653585.1,Mangifera indica,Mangifera indica (mango)
XM_046142422.1,Boeremia exigua,Boeremia exigua
CP027730.1,Pseudomonas sp. R3-52-08,Pseudomonas sp. R3-52-08
NC_045135.1,Phaseolus vulgaris,mitochondrion Phaseolus vulgaris
MW583087.1,Leea guineensis,Leea guineensis
CP091099.1,Pantoea agglomerans,Pantoea agglomerans
CP001875.2,Pantoea ananatis LMG 20103,Pantoea ananatis LMG 20103
CP114500.1,Coriaria nepalensis,Coriaria nepalensis
LR134247.1,Escherichia coli,Escherichia coli
CP071405.1,Pantoea deleyi,Pantoea deleyi
LN595171.1,Cyprinus carpio,Cyprinus carpio (common carp)
AF299305.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753690.1,Escherichia phage phiX174,Escherichia phage phiX174
CP065965.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
XR_008229571.1,Lactuca sativa,Lactuca sativa
CP042180.1,Pseudomonas sp. KBS0802,Pseudomonas sp. KBS0802
HM753695.1,Escherichia phage phiX174,Escherichia phage phiX174
BK022497.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
XM_003351628.2,Sordaria macrospora k-hell,Sordaria macrospora k-hell
XR_008226133.1,Lactuca sativa,Lactuca sativa
CP080494.1,Pseudomonas sp. So3.2b,Pseudomonas sp. So3.2b
MZ747307.1,Stylosanthes viscosa,mitochondrion Stylosanthes viscosa
LC597763.1,synthetic construct,synthetic construct
CP048585.1,Rhizobium pusense,Rhizobium pusense (Agrobacterium pusense)
MF389949.1,Pinus sylvestris,Pinus sylvestris (Scots pine)
XM_019590666.1,Lupinus angustifolius,Lupinus angustifolius (narrow-leaved blue lupine)
CP084212.1,Pseudomonas amygdali,Pseudomonas amygdali
LN592633.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008193650.1,Gossypium raimondii,Gossypium raimondii
LS483371.1,Paucimonas lemoignei,Paucimonas lemoignei
LN590800.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008226128.1,Lactuca sativa,Lactuca sativa
CP099419.1,Septoria linicola,Septoria linicola (Mycosphaerella linicola)
CP063832.1,Pseudomonas entomophila,Pseudomonas entomophila
JQ764986.1,Escherichia phage phiX174,Escherichia phage phiX174
CP010350.1,Acinetobacter johnsonii XBB1,Acinetobacter johnsonii XBB1
LT629769.1,Pseudomonas syringae,Pseudomonas syringae
CP077366.1,Pantoea agglomerans,Pantoea agglomerans
CP072598.1,Erwinia gerundensis,Erwinia gerundensis
OL824859.1,Phytolacca americana,Phytolacca americana (American pokeweed)
KX580715.1,Escherichia coli,Escherichia coli
LN590678.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP028349.1,Pantoea vagans,Pantoea vagans
XR_008229549.1,Lactuca sativa,Lactuca sativa
MN646770.1,Diabrotica undecimpunctata virus 1,Diabrotica undecimpunctata virus 1 (insect metagenome)
XR_002394033.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN594639.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP020335.1,Photorhabdus akhurstii,Photorhabdus akhurstii
LC183551.1,Dioon tomasellii,Dioon tomasellii
XR_008193346.1,Gossypium raimondii,Gossypium raimondii
XR_002394023.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP002171.1,Thermoanaerobacterium thermosaccharolyticum DSM 571,Thermoanaerobacterium thermosaccharolyticum DSM 571
HM753699.1,Escherichia phage phiX174,Escherichia phage phiX174
CP034148.1,Pantoea agglomerans,Pantoea agglomerans
CP085627.1,Erwinia rhapontici,Erwinia rhapontici
CP054865.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
HM775307.1,Escherichia phage phiX174,Escherichia phage phiX174
AP025944.1,Pseudomonas sp. LRP2-20,Pseudomonas sp. LRP2-20
MW182671.1,Fusarium mesoamericanum,mitochondrion Fusarium mesoamericanum
CP048033.1,Pantoea agglomerans,Pantoea agglomerans
LS483469.1,Serratia plymuthica,Serratia plymuthica
XR_001560989.1,Acropora digitifera,Acropora digitifera
XR_007214910.1,Ricinus communis,Ricinus communis (castor bean)
CP074392.1,Agrobacterium salinitolerans,Agrobacterium salinitolerans
XM_038933261.1,Alternaria burnsii,Alternaria burnsii
LC597700.1,synthetic construct,synthetic construct
MN935399.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
XR_002394029.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XM_034844109.1,Vitis riparia,Vitis riparia (riverbank grape)
CP104287.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP011854.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
MG757109.1,Styphnolobium japonicum,mitochondrion Styphnolobium japonicum (Japanese pagoda tree)
XR_002394026.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP025738.1,Pseudomonas ogarae,Pseudomonas ogarae
XM_051445189.1,Alternaria arbusti,Alternaria arbusti
ON951335.1,Rehmannia glutinosa,mitochondrion Rehmannia glutinosa
CP047558.1,Solanum pinnatisectum,Solanum pinnatisectum (tansyleaf nightshade)
XM_044634028.1,Mangifera indica,Mangifera indica (mango)
MZ366774.1,Opuntia bonaerensis,Opuntia bonaerensis
XM_039831744.1,Medicago truncatula,Medicago truncatula (barrel medic)
KY538026.1,Phytolacca americana,Phytolacca americana (American pokeweed)
BK053561.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
XR_004004026.1,Syzygium oleosum,Syzygium oleosum
XR_002393996.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP000058.1,Pseudomonas savastanoi pv. phaseolicola 1448A,Pseudomonas savastanoi pv. phaseolicola 1448A (Pseudomonas syringae
CP013987.1,Pseudomonas oryzihabitans,Pseudomonas oryzihabitans
XR_008229502.1,Lactuca sativa,Lactuca sativa
CP054264.1,Pseudomonas putida,Pseudomonas putida
MG841980.1,Pinus nigra,Pinus nigra
BK057247.1,Bacteriophage sp.,Bacteriophage sp. (Human Metagenome)
CP038295.1,Escherichia coli O55:H7,Escherichia coli O55:H7
CP054866.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
XM_043315831.1,Alternaria atra,Alternaria atra
CP077721.1,Pseudomonas viridiflava,Pseudomonas viridiflava
XR_008229569.1,Lactuca sativa,Lactuca sativa
AP019753.1,Pantoea ananatis,Pantoea ananatis
AP024722.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
LC597750.1,synthetic construct,synthetic construct
MW182678.1,Fusarium vorosii,mitochondrion Fusarium vorosii
MW408732.1,Vector pPTK-BC-IPR,Vector pPTK-BC-IPR
CP007441.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
LT799039.1,Pseudomonas putida,Pseudomonas putida
LC597747.1,synthetic construct,synthetic construct
CP035103.1,Kocuria rosea,Kocuria rosea
LR031570.1,Brassica rapa,Brassica rapa (field mustard)
CP041754.1,Pseudomonas sp. KBS0707,Pseudomonas sp. KBS0707
LN590673.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV196499.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
XM_044614706.1,Mangifera indica,Mangifera indica (mango)
XM_043167402.1,Diaporthe citri,Diaporthe citri (Phomopsis citri)
KT764100.1,Pinus bungeana,Pinus bungeana
MN935406.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
LN594771.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW182651.1,Fusarium aethiopicum,mitochondrion Fusarium aethiopicum
XM_006427599.2,Citrus clementina,Citrus clementina
JX463295.1,Glycine max,mitochondrion Glycine max (soybean)
ON478157.1,Prunus avium,mitochondrion Prunus avium (sweet cherry)
LN592964.1,Cyprinus carpio,Cyprinus carpio (common carp)
GU476478.1,Syzygium claviflorum,Syzygium claviflorum
MW331584.1,Glycine max,mitochondrion Glycine max (soybean)
LN590719.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP015641.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
MN066696.1,Pediomelum tenuiflorum,mitochondrion Pediomelum tenuiflorum
XM_047906369.1,Fulvia fulva,Fulvia fulva
CP027733.1,Pseudomonas sp. R4-39-08,Pseudomonas sp. R4-39-08
CP027759.1,Pseudomonas sp. R2-7-07,Pseudomonas sp. R2-7-07
CP003109.1,Escherichia coli O55:H7 str. RM12579,Escherichia coli O55:H7 str. RM12579
CP071312.1,Rhizobium sp. X9,Rhizobium sp. X9
XR_002394039.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP114464.1,Coriaria nepalensis,Coriaria nepalensis
LC597796.1,synthetic construct,synthetic construct
XR_002394028.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MW182663.1,Fusarium gerlachii,mitochondrion Fusarium gerlachii
CP011835.1,Azotobacter chroococcum,Azotobacter chroococcum
CP050452.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
AF176031.1,Escherichia phage phiX174,Escherichia phage phiX174
XM_025638174.1,Aspergillus uvarum CBS 121591,Aspergillus uvarum CBS 121591
XM_043168205.1,Diaporthe citri,Diaporthe citri (Phomopsis citri)
MK310228.1,Bacillus phage vB_BthP-HD73phi,Bacillus phage vB_BthP-HD73phi
HM753664.1,Escherichia phage phiX174,Escherichia phage phiX174
OV195924.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP015732.1,Arthrobacter sp. U41,Arthrobacter sp. U41
MG841915.1,Pinus nigra,Pinus nigra
CP019399.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
XM_018535928.1,Alternaria alternata,Alternaria alternata
CP026332.1,Pseudomonas sp. XWY-1,Pseudomonas sp. XWY-1
MW525445.1,Trichoderma cornu-damae,mitochondrion Trichoderma cornu-damae (Podostroma cornu-damae)
MZ366771.1,Opuntia auberi,Opuntia auberi
LR134391.1,Kocuria rosea,Kocuria rosea
CP091387.1,Escherichia coli,Escherichia coli
OV196275.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP017696.1,Bifidobacterium asteroides DSM 20089,Bifidobacterium asteroides DSM 20089
ON478169.1,Prunus mume,mitochondrion Prunus mume (Japanese apricot)
CP033023.1,Agrobacterium fabrum,Agrobacterium fabrum
MG841945.1,Pinus nigra,Pinus nigra
CP049045.1,Pseudomonas sp. BIOMIG1BAC,Pseudomonas sp. BIOMIG1BAC
CP087169.1,Pseudomonas sp. B21-047,Pseudomonas sp. B21-047
MG842096.1,Pinus nigra,Pinus nigra
CP097525.1,Pseudomonas putida,Pseudomonas putida
CP048514.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
AM235536.1,Uromyrtus metrosideros,Uromyrtus metrosideros
MG841966.1,Pinus nigra,Pinus nigra
JX069764.1,Cloning vector pFosill-4,Cloning vector pFosill-4
MW182649.1,Fusarium acaciae-mearnsii,mitochondrion Fusarium acaciae-mearnsii
BT139159.1,Lotus japonicus,Lotus japonicus
NC_053004.1,Salmonella phage TS13,Salmonella phage TS13
NC_039596.1,Styphnolobium japonicum,mitochondrion Styphnolobium japonicum (Japanese pagoda tree)
CP087160.1,Pseudomonas sp. CIP-10,Pseudomonas sp. CIP-10
CP040324.1,Pseudomonas monteilii,Pseudomonas monteilii
LR134301.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP009290.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
CP038336.1,Escherichia coli O157:H7,Escherichia coli O157:H7
MZ366776.1,Opuntia x cristalensis,Opuntia x cristalensis
CP065721.1,Stutzerimonas degradans,Stutzerimonas degradans
XM_007872422.1,Gloeophyllum trabeum ATCC 11539,Gloeophyllum trabeum ATCC 11539
MZ747308.1,Stylosanthes scabra,mitochondrion Stylosanthes scabra
OL824852.1,Phytolacca japonica,Phytolacca japonica
CP029047.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
AP019365.1,Pseudomonas sp. KU43P,Pseudomonas sp. KU43P
LN598209.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583067.1,Vitis wuhanensis,Vitis wuhanensis
LN591261.1,Cyprinus carpio,Cyprinus carpio (common carp)
HQ348991.1,Pinus wallichiana,Pinus wallichiana
XR_008229520.1,Lactuca sativa,Lactuca sativa
BK032148.1,Podoviridae sp.,Podoviridae sp. (Human Metagenome)
XM_044794608.1,Diaporthe batatas,Diaporthe batatas
CP003588.1,Pseudomonas putida ND6,Pseudomonas putida ND6
LN598428.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP046902.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
OV195597.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
HM753706.1,Escherichia phage phiX174,Escherichia phage phiX174
CP054629.1,Exserohilum turcica Et28A,Exserohilum turcica Et28A
LN599314.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP027752.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
LN596606.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380031.1,Escherichia phage phiX174,Escherichia phage phiX174
NC_063716.1,Fusarium aethiopicum,mitochondrion Fusarium aethiopicum
CP027717.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
CP114035.1,Pseudomonas putida,Pseudomonas putida
NC_045039.1,Libidibia coriaria,mitochondrion Libidibia coriaria
HM753711.1,Escherichia phage phiX174,Escherichia phage phiX174
OX240751.1,Danio rerio,Danio rerio (zebrafish)
LT629779.1,Pseudarthrobacter equi,Pseudarthrobacter equi
MW583063.1,Vitis hancockii,Vitis hancockii
MW583060.1,Vitis shenxiensis,Vitis shenxiensis
CP003085.1,Pantoea ananatis PA13,Pantoea ananatis PA13
OV196273.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LN594534.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_001560982.1,Acropora digitifera,Acropora digitifera
CP060289.1,Pseudomonas protegens,Pseudomonas protegens
LT615367.1,Dickeya aquatica,Dickeya aquatica
CP070254.1,Streptomyces californicus,Streptomyces californicus
MK426679.1,Castanospermum australe,mitochondrion Castanospermum australe (Australian chestnut)
CP077090.1,Pseudomonas zeae,Pseudomonas zeae
AY929365.1,Anisophyllea fallax,Anisophyllea fallax
CP078013.1,Pseudomonas pergaminensis,Pseudomonas pergaminensis
LN598077.1,Cyprinus carpio,Cyprinus carpio (common carp)
HQ349046.1,Pinus pumila,Pinus pumila
XR_008229512.1,Lactuca sativa,Lactuca sativa
CP098740.1,Streptomyces drozdowiczii,Streptomyces drozdowiczii
CP099542.1,Pantoea ananatis,Pantoea ananatis
CP086067.1,Stutzerimonas chloritidismutans,Stutzerimonas chloritidismutans
LN590834.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394015.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XM_031098880.1,Quercus lobata,Quercus lobata
CP015108.1,Sporosarcina ureae,Sporosarcina ureae
CP008953.1,Amycolatopsis japonica,Amycolatopsis japonica
AF534775.1,Anisophyllea fallax,Anisophyllea fallax
MZ366773.1,Opuntia basilaris,Opuntia basilaris
XM_007697625.1,Bipolaris sorokiniana ND90Pr,Bipolaris sorokiniana ND90Pr
MG841926.1,Pinus nigra,Pinus nigra
XM_038927716.1,Alternaria burnsii,Alternaria burnsii
CP099643.1,Pseudomonas proteolytica,Pseudomonas proteolytica
HM753663.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590684.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP090356.1,Pantoea ananatis,Pantoea ananatis
OL824855.1,Phytolacca americana,Phytolacca americana (American pokeweed)
LR794154.1,Oryza rufipogon,mitochondrion Oryza rufipogon
CP043963.1,Agrobacterium fabrum,Agrobacterium fabrum
HM753700.1,Escherichia phage phiX174,Escherichia phage phiX174
XM_020203101.1,Aspergillus aculeatus ATCC 16872,Aspergillus aculeatus ATCC 16872
LN596822.1,Cyprinus carpio,Cyprinus carpio (common carp)
MF955859.1,Glycine soja,mitochondrion Glycine soja
HM753669.1,Escherichia phage phiX174,Escherichia phage phiX174
CP049115.1,Pantoea stewartii,Pantoea stewartii
CP101622.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
HG998512.1,Oryza rufipogon,chloroplast Oryza rufipogon
XM_006452504.2,Citrus clementina,Citrus clementina
CP107546.1,Microbacterium sp. M28,Microbacterium sp. M28
MW927522.1,Paenibacillus phage Pahemo,Paenibacillus phage Pahemo
MN066695.1,Pediomelum digitatum,mitochondrion Pediomelum digitatum
MG841955.1,Pinus nigra,Pinus nigra
LR536612.1,Proasellus escolai,mitochondrion Proasellus escolai
CP089532.1,Pseudomonas veronii,Pseudomonas veronii
LL999756.1,Strongyloides stercoralis,Strongyloides stercoralis
LN598550.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_031430211.1,Pistacia vera,Pistacia vera
LN594987.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP015876.1,Pseudomonas putida SJTE-1,Pseudomonas putida SJTE-1
MN935428.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
XR_008226147.1,Lactuca sativa,Lactuca sativa
LN591137.1,Cyprinus carpio,Cyprinus carpio (common carp)
MN935391.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
XM_006473006.4,Citrus sinensis,Citrus sinensis (sweet orange)
LN590677.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP102830.1,Pseudomonas sp. LS44,Pseudomonas sp. LS44
HM775308.1,Escherichia phage phiX174,Escherichia phage phiX174
OU943334.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP066276.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP015219.1,Rhodococcus sp. PBTS 1,Rhodococcus sp. PBTS 1
KU310670.1,Cannabis sativa,mitochondrion Cannabis sativa
CP044427.1,Ornithinimicrobium pratense,Ornithinimicrobium pratense
LN590934.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_018534340.1,Alternaria alternata,Alternaria alternata
CP077084.1,Pseudomonas tritici,Pseudomonas tritici
CP043626.1,Pseudomonas denitrificans (nom. rej.),Pseudomonas denitrificans (nom. rej.)
LN590998.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP014480.1,Kocuria turfanensis,Kocuria turfanensis
XM_031406590.1,Pistacia vera,Pistacia vera
CP099418.1,Septoria linicola,Septoria linicola (Mycosphaerella linicola)
CP091174.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
CP024223.1,Escherichia coli O169:H41,Escherichia coli O169:H41
LN590875.1,Cyprinus carpio,Cyprinus carpio (common carp)
OL824861.1,Phytolacca icosandra,Phytolacca icosandra
AF176033.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590699.1,Cyprinus carpio,Cyprinus carpio (common carp)
JQ261978.1,Pinus radiata,Pinus radiata (Monterey pine)
CP013861.1,Pseudomonas fragi,Pseudomonas fragi
XM_044799131.1,Cercospora kikuchii,Cercospora kikuchii
XR_008226117.1,Lactuca sativa,Lactuca sativa
CP002219.1,Caldicellulosiruptor hydrothermalis 108,Caldicellulosiruptor hydrothermalis 108
LN590995.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP022312.1,Enterococcus faecalis,Enterococcus faecalis
LN590949.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP088240.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
XM_050358796.1,Mercurialis annua,Mercurialis annua (annual mercury)
MW182679.1,Fusarium vorosii,mitochondrion Fusarium vorosii
KY965816.2,Lasthenia californica,chloroplast Lasthenia californica
CP007226.1,Agrobacterium tumefaciens LBA4213 (Ach5),Agrobacterium tumefaciens LBA4213 (Ach5)
MZ900994.1,Juglans mandshurica,mitochondrion Juglans mandshurica
HM753684.1,Escherichia phage phiX174,Escherichia phage phiX174
MN935418.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP097286.1,Pseudomonas viridiflava,Pseudomonas viridiflava
CP010344.1,Escherichia coli ECC-1470,Escherichia coli ECC-1470
CP114497.1,Coriaria nepalensis,Coriaria nepalensis
CP079856.1,Agrobacterium fabrum,Agrobacterium fabrum
CP017024.1,Pseudomonas psychrotolerans,Pseudomonas psychrotolerans
MG841906.1,Pinus nigra,Pinus nigra
CP017886.1,Pseudomonas frederiksbergensis,Pseudomonas frederiksbergensis
LN592367.1,Cyprinus carpio,Cyprinus carpio (common carp)
AP004911.2,Lotus japonicus,Lotus japonicus
CP002291.1,Escherichia coli P12b,Escherichia coli P12b
AF176034.1,Escherichia phage phiX174,Escherichia phage phiX174
AP022830.1,Kocuria sp. TGY1120_3,Kocuria sp. TGY1120_3
LC183525.1,Dioon edule,Dioon edule
LN590685.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583071.1,Vitis tsoi,Vitis tsoi
CP062122.1,Pseudomonas sp. ADPe,Pseudomonas sp. ADPe
OX240467.1,Danio rerio,Danio rerio (zebrafish)
CP083454.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MK012641.1,Endoconidiophora resinifera,mitochondrion Endoconidiophora resinifera
CP110473.1,Pantoea anthophila,Pantoea anthophila
CP096810.1,Klebsiella pneumoniae,Klebsiella pneumoniae
XR_002393997.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MN017228.1,Libidibia coriaria,mitochondrion Libidibia coriaria
OM892756.1,Cecropia pachystachya,Cecropia pachystachya
CP070506.1,Pseudomonas sp. SDM007,Pseudomonas sp. SDM007
CP032677.1,Pseudomonas sp. Leaf58,Pseudomonas sp. Leaf58
LT707061.1,Pseudomonas putida,Pseudomonas putida
HQ349056.1,Pinus strobiformis,Pinus strobiformis
NC_063717.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
LT635623.1,Plasmodium vivax,Plasmodium vivax (malaria parasite P. vivax)
CP017581.1,Pantoea stewartii subsp. stewartii DC283,Pantoea stewartii subsp. stewartii DC283
